rownum,qnum,userid,ans,time
6,1,2,2,11/08/12 06:12:45 pm
5,2,2,1,11/08/12 06:12:28 pm
4,3,2,3,11/08/12 06:12:23 pm
7,1,3,2,11/08/12 06:33:33 pm
8,3,3,2,11/08/12 06:33:41 pm
9,2,3,1,11/08/12 06:33:51 pm
10,1,4,2,11/08/12 06:41:15 pm
11,2,4,1,11/08/12 06:41:18 pm
12,3,4,0,11/08/12 06:41:29 pm
13,2,5,1,11/08/12 06:42:24 pm
14,1,5,5,11/08/12 06:42:32 pm
15,3,5,1,11/08/12 06:42:39 pm
16,2,6,1,11/08/12 06:45:56 pm
17,1,6,6,11/08/12 06:46:09 pm
18,3,6,0,11/08/12 06:46:18 pm
19,3,7,2,11/08/12 06:55:28 pm
20,1,7,2,11/08/12 06:55:39 pm
21,2,7,1,11/08/12 06:55:57 pm
22,3,8,0.25,11/08/12 06:56:45 pm
23,2,9,1,11/08/12 06:56:58 pm
24,1,8,2,11/08/12 06:57:03 pm
25,1,9,7,11/08/12 06:57:07 pm
26,2,8,1,11/08/12 06:57:07 pm
27,3,9,1,11/08/12 06:57:49 pm
28,1,10,3,11/08/12 06:58:21 pm
29,3,10,2,11/08/12 06:58:29 pm
30,2,10,1,11/08/12 06:58:34 pm
31,4,7,0,11/08/12 06:59:21 pm
32,4,6,0,11/08/12 07:00:55 pm
33,2,11,1,11/08/12 07:03:16 pm
34,1,11,3,11/08/12 07:03:29 pm
35,4,11,0,11/08/12 07:03:33 pm
36,3,11,1,11/08/12 07:03:40 pm
37,4,12,1,11/08/12 07:06:06 pm
38,3,12,0,11/08/12 07:06:14 pm
39,1,12,5,11/08/12 07:06:24 pm
40,2,12,1,11/08/12 07:06:31 pm
41,5,6,0,11/08/12 07:08:59 pm
42,5,7,0,11/08/12 07:09:24 pm
43,6,7,0,11/08/12 07:09:31 pm
44,5,13,0,11/08/12 07:15:26 pm
45,6,13,1,11/08/12 07:15:38 pm
46,6,6,1,11/08/12 07:15:43 pm
47,2,13,1,11/08/12 07:15:44 pm
48,1,13,2,11/08/12 07:16:07 pm
49,4,13,1,11/08/12 07:16:13 pm
50,3,13,2,11/08/12 07:16:29 pm
51,1,14,6,11/08/12 07:19:19 pm
52,2,14,1,11/08/12 07:19:23 pm
53,3,14,1,11/08/12 07:19:29 pm
54,4,14,1,11/08/12 07:19:33 pm
55,5,14,0,11/08/12 07:19:38 pm
56,6,14,1,11/08/12 07:19:42 pm
57,4,15,0,11/08/12 07:27:59 pm
58,1,15,5,11/08/12 07:28:07 pm
59,3,15,1,11/08/12 07:28:17 pm
60,5,15,0,11/08/12 07:28:22 pm
61,6,15,1,11/08/12 07:28:25 pm
62,2,15,1,11/08/12 07:28:29 pm
63,2,16,1,11/08/12 07:29:57 pm
64,5,16,0,11/08/12 07:30:05 pm
65,6,17,0,11/08/12 07:30:23 pm
66,1,16,5,11/08/12 07:30:33 pm
67,1,17,4,11/08/12 07:30:43 pm
68,5,17,0,11/08/12 07:30:59 pm
69,2,17,1,11/08/12 07:31:05 pm
70,6,16,0,11/08/12 07:31:06 pm
71,4,16,0,11/08/12 07:31:13 pm
72,3,17,1,11/08/12 07:31:16 pm
73,4,17,0,11/08/12 07:31:23 pm
74,3,16,0,11/08/12 07:31:27 pm
75,1,18,3,11/08/12 07:35:08 pm
76,2,18,1,11/08/12 07:35:14 pm
77,6,18,0,11/08/12 07:35:20 pm
78,5,18,0,11/08/12 07:35:26 pm
79,3,18,1,11/08/12 07:35:49 pm
80,4,18,0,11/08/12 07:35:56 pm
81,2,19,1,11/08/12 07:37:34 pm
82,4,19,0,11/08/12 07:37:39 pm
83,3,19,3,11/08/12 07:38:04 pm
84,5,19,0,11/08/12 07:38:10 pm
85,1,19,7,11/08/12 07:38:16 pm
86,6,19,1,11/08/12 07:38:24 pm
87,6,20,0,11/08/12 07:40:30 pm
88,4,20,1,11/08/12 07:40:41 pm
89,3,20,0,11/08/12 07:40:52 pm
90,1,20,2,11/08/12 07:40:58 pm
91,2,20,1,11/08/12 07:41:03 pm
92,5,20,0,11/08/12 07:41:07 pm
3015,14,248,0,11/09/12 11:51:48 am
3014,9,248,1,11/09/12 11:51:44 am
3013,6,248,0,11/09/12 11:51:36 am
3012,13,248,0,11/09/12 11:51:20 am
3627,3,295,2,11/09/12 03:00:52 pm
3626,10,295,0,11/09/12 03:00:40 pm
99,4,22,0,11/08/12 07:44:35 pm
100,6,22,0,11/08/12 07:44:40 pm
101,1,22,1,11/08/12 07:44:45 pm
102,5,22,0,11/08/12 07:44:52 pm
103,2,22,1,11/08/12 07:45:00 pm
104,3,22,0,11/08/12 07:45:06 pm
105,2,23,1,11/08/12 07:45:30 pm
106,4,23,0,11/08/12 07:45:34 pm
107,3,23,1,11/08/12 07:45:44 pm
108,5,23,0,11/08/12 07:45:48 pm
109,1,23,5,11/08/12 07:45:56 pm
110,6,23,1,11/08/12 07:46:02 pm
111,5,24,0,11/08/12 07:49:26 pm
112,2,24,1,11/08/12 07:49:35 pm
113,3,24,1,11/08/12 07:49:52 pm
114,6,24,1,11/08/12 07:50:06 pm
115,1,24,1,11/08/12 07:50:14 pm
116,4,24,0,11/08/12 07:50:21 pm
117,1,25,4,11/08/12 07:52:12 pm
118,3,25,1,11/08/12 07:52:18 pm
119,2,25,1,11/08/12 07:52:23 pm
