question_id,description,approval_status,question_type,skips,rank,user_id,created_at,updated_at,null
1,I generally use air conditioners on hot summer days,approved,agreedisagree,14,4,2,2013-06-25 19:59:59,2013-12-31 04:06:18,
2,Do you have a hot tub?,approved,yesno,7,19,2,2013-06-25 19:59:59,2013-12-15 23:46:20,
3,How many teenagers are in your home?,approved,number,20,52,2,2013-06-25 19:59:59,2013-12-18 02:03:23,
4,How many loads of laundry do you do per week?,approved,number,14,1,2,2013-06-25 19:59:59,2014-01-09 16:01:09,
5,Do you have an electric hot water tank?,approved,yesno,33,31,2,2013-06-25 19:59:59,2014-03-16 19:54:24,
6,"Most of my appliances (laundry machines, refrigerator, etc.) are high efficiency.",approved,agreedisagree,12,272,2,2013-06-25 19:59:59,2014-01-10 19:24:22,
7,How many people live in your household?,approved,number,2,18,6,2013-07-18 12:52:57,2013-12-18 02:49:46,
8,I only run the dishwasher when it's full.,approved,agreedisagree,85,1000,6,2013-07-18 12:53:51,2014-02-22 18:56:54,
9,I only use lighting when necessary.,approved,agreedisagree,6,97,6,2013-07-18 12:54:39,2014-01-25 01:18:09,
11,How many room/window air conditioners are in your home?,approved,number,7,8,14,2013-07-26 01:41:26,2014-01-28 16:47:55,
12,Do you have central air conditioning?,approved,yesno,4,11,14,2013-07-26 01:44:08,2013-12-07 21:15:54,
13,How large is your home in square feet of living space?,approved,number,62,16,14,2013-07-26 01:44:58,2014-01-21 16:09:23,
14,Do you have a stand-alone freezer?,approved,yesno,6,95,14,2013-07-26 01:46:23,2013-12-09 15:47:33,
15,Do you have a solar PV system or other renewable energy source?,approved,yesno,11,1000,14,2013-07-26 01:46:55,2013-12-27 01:34:04,
16,Does anyone in your home work from home?,approved,yesno,10,161,14,2013-07-26 01:47:37,2014-01-18 16:48:27,
17,Most of my lighting is high efficiency CFLs or LEDs,approved,agreedisagree,8,133,14,2013-07-26 01:48:30,2014-01-08 00:17:41,
18,Do you have a dehumidifier?,approved,yesno,4,20,8,2013-08-07 20:40:08,2013-12-08 21:14:11,
19,Do you have a pool pump?,approved,yesno,29,60,8,2013-08-07 20:40:42,2014-02-22 19:27:31,
20,Do you have an electric oven?,approved,yesno,4,121,21,2013-08-08 00:08:43,2013-12-07 21:47:08,
21,Do you have an electric range?,approved,yesno,8,1000,21,2013-08-08 00:09:28,2013-12-13 15:13:09,
22,How many pieces of toast do you toast on a typical week?,approved,number,18,66,21,2013-08-08 00:11:40,2014-01-20 02:24:10,
23,I never turn my wireless router off.,approved,agreedisagree,12,237,9,2013-08-13 19:26:48,2013-12-25 20:15:45,
24,"How many hours of TV or DVD\Video viewing is there, in your home, per week?",approved,number,16,87,9,2013-08-13 19:28:46,2014-01-20 02:30:22,
25,My desktop computer is always on.,approved,agreedisagree,29,24,9,2013-08-13 19:33:30,2014-01-08 02:36:27,
26,Do you use a "smart" power strip on your entertainment system?,approved,yesno,41,25,27,2013-08-15 02:28:28,2014-02-08 22:52:07,
27,Has a professional conducted airsealing and blower door testing on your home within the last 10 years?,approved,yesno,31,229,27,2013-08-15 02:30:27,2014-03-05 03:02:22,
28,Do you vacuum your refrigerator coils twice a year?,approved,yesno,7,153,28,2013-08-17 03:05:52,2013-12-14 21:27:36,
29,Do you generally floss your teeth at least once per day?,approved,yesno,20,1000,2,2013-08-22 21:58:35,2013-12-27 01:42:13,
30,How many cars are generally parked at your home each night?,approved,number,14,80,2,2013-08-22 21:59:17,2014-03-29 15:44:17,
31,How many teenagers live in your home?,approved,number,24,9,2,2013-08-22 21:59:59,2014-01-28 15:42:57,
33,Does your electric range have induction burners?,approved,yesno,136,1000,33,2013-08-30 15:59:53,2014-02-14 20:13:20,
34,How many months of the year do you use your dehumidifier?,approved,number,59,32,33,2013-08-30 16:04:45,2014-02-14 20:10:08,
35,At what percentage humidity level do you set your dehumidifier?,approved,number,196,102,33,2013-08-30 16:08:41,2014-02-22 19:08:37,
36,Is your freezer a frost-free model?,approved,yesno,48,211,33,2013-08-30 16:10:59,2014-02-14 20:12:48,
37,Do you have a toaster oven?,approved,yesno,4,230,33,2013-08-30 16:19:44,2013-12-19 16:49:26,
38,Do you have a microwave oven?,approved,yesno,1,6,33,2013-08-30 16:21:07,2013-12-04 00:10:50,
39,Do you have an electric dryer?,approved,yesno,13,109,33,2013-08-30 16:22:37,2014-01-08 01:40:04,
40,Do you have a front-load washing machine?,approved,yesno,16,196,33,2013-08-30 16:26:54,2014-01-07 21:16:42,
41,Size of your electric water heater? Number of gallons capacity.,approved,number,210,1000,33,2013-08-31 03:18:24,2014-02-14 20:12:28,
42,Do you have a hot air heating system? (electric blower/fan),approved,yesno,12,79,33,2013-08-31 03:21:27,2014-01-20 22:52:36,
43,At what temperature is your electric hot water heater set?,approved,number,215,1000,33,2013-08-31 03:26:34,2014-03-16 19:49:23,
44,I have a kerosene heater that heats my 1250 sq ' condo.  I also have baseboard electric heat.  I only use my Kerosene heater.  Is using Kerosene less expensive than using electric heat?,rejected,yesno,0,2000000000,36,2013-09-02 20:23:03,2013-09-02 21:09:34,
45,Do you sleep year-round with fans running at night?,approved,yesno,3,54,40,2013-09-13 19:48:00,2013-12-08 21:05:53,
46,I live alone and have an old thermostat for my hot air furnace. I set the thermostat at 60 during cold months while at work and at night and 65 when I am up. Would it be cost effective to get a new programable?,rejected,yesno,0,2000000000,11,2013-09-15 12:28:30,2013-09-15 16:04:18,
47,Do you go to bed earlier when the days are shorter?,approved,yesno,6,1000,23,2013-09-15 14:51:13,2013-12-30 21:12:17,
48,Do you unplug you electronics immediately after they've finished charging?,approved,yesno,6,72,23,2013-09-15 14:56:00,2013-12-16 02:26:26,
49,"I turn my electronics off at night when they're not in use. e.g., cell phone, laptop",approved,agreedisagree,7,1000,23,2013-09-15 14:56:54,2014-01-10 19:31:25,
50,Do you use an electric toothbrush?,approved,yesno,3,39,23,2013-09-15 14:58:54,2013-12-11 15:21:08,
51,How many hours a month use heating pad?,approved,number,33,1000,23,2013-09-15 15:03:25,2014-02-22 19:17:06,
