user_id,bed_eminder_id,actual_kwh,created_at,null
1,abc123def,0.0,2013-06-25 19:59:59,
2,vu536j,959.82,2013-06-25 19:59:59,
3,63riep,1169.05,2013-07-17 21:29:29,
5,fpfhix,198.024,2013-07-18 10:21:28,
6,km5css,746.31,2013-07-18 12:49:09,
7,uc35re,205.212,2013-07-18 13:01:05,
8,5ACZ9T,349.194,2013-07-18 17:22:30,
9,b3qfc7,181.062,2013-07-19 12:41:20,
10,5bicfd,396.984,2013-07-20 15:04:12,
11,riebnd,449.124,2013-07-22 14:50:52,
13,6d74q8,303.366,2013-07-24 12:37:29,
14,nudza3,246.24,2013-07-26 01:36:49,
15,mpypwp,280.416,2013-07-26 20:28:07,
17,5vz6t5,887.598,2013-07-29 21:18:08,
18,xafz2a,494.292,2013-08-02 01:42:57,
19,sap6ru,379.368,2013-08-05 16:14:59,
20,gcdwrq,542.268,2013-08-06 10:46:34,
21,7ui3u4,93.822,2013-08-07 23:55:41,
22,uoda22,379.566,2013-08-08 04:32:35,
23,w8ic3b,144.594,2013-08-08 16:35:22,
25,mobfnf,118.404,2013-08-11 07:59:53,
26,v883x9,237.744,2013-08-11 13:36:05,
27,xr9bcd,168.738,2013-08-15 02:14:36,
28,r4fzdv,261.606,2013-08-17 02:50:31,
29,q7bgx8,189.648,2013-08-18 15:05:11,
30,musst2,223.158,2013-08-19 17:39:58,
31,pth2ot,96.702,2013-08-24 16:37:06,
32,u5c9zd,259.062,2013-08-26 16:19:32,
33,Dzzifa,576.24,2013-08-30 15:41:08,
35,rdgo9q,462.984,2013-09-02 17:29:20,
36,tvmqqf,588.63,2013-09-02 20:02:49,
37,cavdmc,188.706,2013-09-02 21:00:26,
38,w44snr,354.426,2013-09-03 03:18:06,
39,enf92s,225.552,2013-09-13 11:41:12,
40,admu9e,544.782,2013-09-13 18:56:34,
41,Bgopeu,244.86,2013-09-17 12:11:52,
42,czwxnx,143.736,2013-09-25 21:19:42,
43,ipkzf8,624.834,2013-10-04 14:33:18,
44,q8v973,410.796,2013-10-05 11:48:42,
45,foipkg,503.124,2013-10-05 13:06:24,
46,dmwsci,973.068,2013-10-21 14:25:53,
47,sx2x72,206.316,2013-11-20 18:26:00,
48,ag23qe,1120.53,2013-11-20 19:19:10,
49,eba2ic,1147.71,2013-11-20 20:33:34,
50,wtpt27,113.766,2013-11-20 20:44:17,
51,ig8q43,253.332,2013-11-20 21:50:22,
52,kx53dd,74.85,2013-11-20 21:52:59,
53,ttxgcb,312.282,2013-11-20 22:03:44,
54,kzfqhp,304.806,2013-11-20 22:41:51,
55,kjr8hy,32.244,2013-11-20 22:58:29,
56,dd2r3i,642.3,2013-11-20 23:31:36,
57,29pr9y,179.49,2013-11-20 23:55:26,
58,xvra2k,661.044,2013-11-20 23:55:57,
59,xihgo3,299.31,2013-11-21 00:31:53,
60,ar5jjq,302.334,2013-11-21 00:32:02,
61,6c8yaa,338.892,2013-11-21 00:36:31,
62,7j8p8v,155.976,2013-11-21 00:53:28,
63,ic9hfc,696.822,2013-11-21 02:19:01,
64,k9sini,222.66,2013-11-21 02:31:45,
65,pzczpc,75.228,2013-11-21 02:54:03,
66,bytdtf,388.926,2013-11-21 03:43:47,
67,emxobm,137.604,2013-11-21 03:45:12,
68,zhe7vo,349.986,2013-11-21 03:54:13,
69,59v69w,320.448,2013-11-21 04:07:10,
70,aymppm,0.0,2013-11-21 13:34:30,
71,ykw6qj,244.818,2013-11-21 13:42:44,
72,pd642x,511.482,2013-11-21 15:05:48,
73,ej5nrt,1065.32,2013-11-21 15:11:15,
74,rzc65i,417.15,2013-11-21 17:04:30,
75,w3opke,1808.18,2013-11-21 20:26:14,
76,yzzoeq,0.0,2013-11-21 23:57:14,
77,sn7b7o,318.6,2013-11-22 00:05:53,
78,t38dsd,470.214,2013-11-22 01:25:11,
79,ss4bux,1501.78,2013-11-22 13:29:41,
80,5dcho4,735.582,2013-11-22 14:03:13,
81,htkagb,877.632,2013-11-22 14:57:52,
82,yfiyzv,301.29,2013-11-22 16:02:49,
83,9tnuk2,37.794,2013-11-22 16:47:08,
84,rc47ou,191.25,2013-11-22 18:03:01,
85,zqr2df,312.798,2013-11-23 00:25:53,
86,w2sbc4,757.056,2013-11-23 14:37:35,
87,34vv9y,405.51,2013-11-23 14:38:50,
88,s7d3vi,84.216,2013-11-24 04:14:39,
89,ei72x7,164.1,2013-11-24 13:27:59,
90,uv4yph,287.91,2013-11-24 18:25:51,
91,ivngme,559.236,2013-11-24 19:18:40,
92,Tnnaxt,204.606,2013-11-25 02:44:37,
93,3medab,371.046,2013-11-25 12:34:40,
94,ipztpu,280.908,2013-11-25 16:58:17,
95,s3ucxb,693.222,2013-11-25 19:44:18,
96,w32mhw,92.822,2013-11-25 21:26:48,
97,vhthqx,404.748,2013-11-25 22:49:21,
98,unmny2,197.826,2013-11-26 14:33:47,
99,gi35w7,299.628,2013-11-27 01:24:39,
100,u3ds4w,269.658,2013-11-27 12:42:17,
101,rozj37,303.852,2013-11-27 14:03:52,
102,433qws,285.534,2013-11-27 15:26:27,
103,huhj89,269.082,2013-11-27 17:40:31,
104,9fdtgu,380.922,2013-11-29 12:42:27,
105,e3fidx,232.62,2013-11-29 17:00:58,
106,teh95v,391.584,2013-11-29 18:20:54,
107,tfqy24,339.216,2013-11-29 18:43:35,
108,in3sdy,244.95,2013-11-29 18:56:02,
110,7wss57,518.424,2013-11-29 19:16:42,
